,CELL_ID
826,0403.66
827,0403.661
828,0403.679
829,0403.689
830,0403.694
831,0403.707
832,0403.710
833,0403.717
834,0403.721
835,0403.722
836,0403.725
837,0403.726
838,0403.738
839,0403.739
840,0403.760
841,0403.765
842,0403.768
843,0403.78
844,0403.808
845,0403.818
846,0403.824
847,0403.829
848,0403.830
849,0403.833
850,0403.834
851,0403.836
852,0403.851
853,0403.87
854,0403.870
855,0403.873
856,0403.878
857,0403.894
858,0403.905
859,0403.909
860,0403.926
861,0403.929
862,0403.935
863,0403.936
864,0403.940
865,0403.963
866,0403.971
867,0403.986
868,0403.989
869,0503.1001
870,0503.1016
871,0503.1017
872,0503.102
873,0503.1029
874,0503.1030
875,0503.1033
876,0503.1036
877,0503.1037
878,0503.1040
879,0503.1041
880,0503.105
881,0503.1065
882,0503.1066
883,0503.1078
884,0503.1082
885,0503.1083
886,0503.1084
887,0503.1086
888,0503.1110
889,0503.1111
890,0503.1112
891,0503.1118
892,0503.1120
893,0503.1124
894,0503.1129
895,0503.1137
896,0503.1145
897,0503.1156
898,0503.1166
899,0503.1168
900,0503.1170
901,0503.1172
902,0503.1190
903,0503.1193
904,0503.1197
905,0503.1225
906,0503.1227
907,0503.1229
908,0503.1233
909,0503.1247
910,0503.1249
911,0503.1255
912,0503.1256
913,0503.1258
914,0503.1265
915,0503.127
916,0503.1278
917,0503.1279
918,0503.133
919,0503.1330
920,0503.1338
921,0503.1357
922,0503.1358
923,0503.1364
924,0503.1375
925,0503.1376
926,0503.1377
927,0503.1378
928,0503.1379
929,0503.1380
930,0503.1393
931,0503.1394
932,0503.1395
933,0503.1412
934,0503.1413
935,0503.1416
936,0503.143
937,0503.1432
938,0503.1433
939,0503.144
940,0503.1440
941,0503.1441
942,0503.1444
943,0503.1449
944,0503.145
945,0503.1471
946,0503.1477
947,0503.1480
948,0503.1483
949,0503.1484
950,0503.1485
951,0503.1487
952,0503.1504
953,0503.1512
954,0503.1514
955,0503.1531
956,0503.1534
957,0503.1540
958,0503.1546
959,0503.1551
960,0503.156
961,0503.1565
962,0503.1566
963,0503.1568
964,0503.1584
965,0503.1585
966,0503.161
967,0503.1613
968,0503.1614
969,0503.1615
970,0503.162
971,0503.1628
972,0503.1647
973,0503.1648
974,0503.1649
975,0503.1656
976,0503.1666
977,0503.1681
978,0503.1695
979,0503.1698
980,0503.1707
981,0503.1714
982,0503.1716
983,0503.1750
984,0503.1751
985,0503.1754
986,0503.1764
987,0503.1768
988,0503.1774
989,0503.1775
990,0503.1780
991,0503.1787
992,0503.1801
993,0503.1813
994,0503.1814
995,0503.1818
996,0503.183
997,0503.1846
998,0503.1864
999,0503.1880
1000,0503.1905
1001,0503.1906
1002,0503.1907
1003,0503.1913
1004,0503.1914
1005,0503.1922
1006,0503.1923
1007,0503.1927
1008,0503.1928
1009,0503.1940
1010,0503.1957
1011,0503.1958
1012,0503.1961
1013,0503.1962
1014,0503.1969
1015,0503.1982
1016,0503.1988
1017,0503.1995
1018,0503.201
1019,0503.2019
1020,0503.2021
1021,0503.2022
1022,0503.2028
1023,0503.2046
1024,0503.205
1025,0503.2062
1026,0503.2063
1027,0503.2070
1028,0503.2079
1029,0503.2087
1030,0503.2092
1031,0503.2098
1032,0503.2100
1033,0503.2101
1034,0503.2103
1035,0503.2104
1036,0503.212
1037,0503.2125
1038,0503.2129
1039,0503.213
1040,0503.2130
1041,0503.2131
1042,0503.2132
1043,0503.2135
1044,0503.214
1045,0503.2144
1046,0503.2146
1047,0503.2148
1048,0503.2152
1049,0503.217
1050,0503.2181
1051,0503.2182
1052,0503.2183
1053,0503.2184
1054,0503.220
1055,0503.2203
1056,0503.2205
1057,0503.2209
1058,0503.221
1059,0503.2222
1060,0503.2229
1061,0503.2231
1062,0503.2249
1063,0503.2254
1064,0503.2259
1065,0503.2260
1066,0503.2276
1067,0503.2279
1068,0503.2284
1069,0503.2285
1070,0503.2297
1071,0503.2298
1072,0503.2299
1073,0503.2302
1074,0503.2303
1075,0503.2315
1076,0503.2338
1077,0503.2344
1078,0503.235
1079,0503.2357
1080,0503.2365
1081,0503.2367
1082,0503.2378
1083,0503.2388
1084,0503.2409
1085,0503.2412
1086,0503.2417
1087,0503.2459
1088,0503.2460
1089,0503.2461
1090,0503.2467
1091,0503.2468
1092,0503.2469
1093,0503.2479
1094,0503.250
1095,0503.2502
1096,0503.2536
1097,0503.254
1098,0503.2545
1099,0503.255
1100,0503.256
1101,0503.257
1102,0503.2572
1103,0503.2584
1104,0503.2655
1105,0503.2656
1106,0503.2657
1107,0503.2676
1108,0503.2701
1109,0503.271
1110,0503.2714
1111,0503.2718
1112,0503.272
1113,0503.274
1114,0503.280
1115,0503.2806
1116,0503.2818
1117,0503.2832
1118,0503.2841
1119,0503.2848
1120,0503.2894
1121,0503.2896
1122,0503.2901
1123,0503.2921
1124,0503.2935
1125,0503.2957
1126,0503.296
1127,0503.2977
1128,0503.298
1129,0503.3
1130,0503.3007
1131,0503.3008
1132,0503.3040
1133,0503.3048
1134,0503.3062
1135,0503.3067
1136,0503.3089
1137,0503.3092
1138,0503.3099
1139,0503.3103
1140,0503.3108
1141,0503.3132
1142,0503.3136
1143,0503.3164
1144,0503.317
1145,0503.3177
1146,0503.3181
1147,0503.3196
1148,0503.3218
1149,0503.323
1150,0503.3278
1151,0503.329
1152,0503.3307
1153,0503.3326
1154,0503.3333
1155,0503.3358
1156,0503.338
1157,0503.339
1158,0503.3457
1159,0503.358
1160,0503.359
1161,0503.360
1162,0503.361
1163,0503.362
1164,0503.376
1165,0503.384
1166,0503.385
1167,0503.386
1168,0503.387
1169,0503.396
1170,0503.4
1171,0503.400
1172,0503.41
1173,0503.42
1174,0503.426
1175,0503.43
1176,0503.446
1177,0503.447
1178,0503.448
1179,0503.450
1180,0503.451
1181,0503.463
1182,0503.468
1183,0503.481
1184,0503.490
1185,0503.5
1186,0503.502
1187,0503.511
1188,0503.512
1189,0503.513
1190,0503.526
1191,0503.527
1192,0503.551
1193,0503.572
1194,0503.573
1195,0503.574
1196,0503.59
1197,0503.594
1198,0503.595
1199,0503.599
1200,0503.600
1201,0503.601
1202,0503.603
1203,0503.626
1204,0503.627
1205,0503.628
1206,0503.655
1207,0503.656
1208,0503.657
1209,0503.663
1210,0503.665
1211,0503.677
1212,0503.678
1213,0503.683
1214,0503.686
1215,0503.69
1216,0503.70
1217,0503.703
1218,0503.71
1219,0503.762
1220,0503.771
1221,0503.784
1222,0503.785
1223,0503.788
1224,0503.790
1225,0503.799
1226,0503.817
1227,0503.820
1228,0503.822
1229,0503.843
1230,0503.845
1231,0503.869
1232,0503.879
1233,0503.880
1234,0503.883
1235,0503.9
1236,0503.902
1237,0503.907
1238,0503.92
1239,0503.930
1240,0503.96
1241,0503.963
1242,0503.964
1243,0503.967
1244,0503.990
1245,0503.991
1246,0503.992
1247,0503.998
1248,0503.999
1249,0603.1
1250,0603.100
1251,0603.1010
1252,0603.1022
1253,0603.1028
1254,0603.103
1255,0603.1033
1256,0603.1048
1257,0603.1049
1258,0603.1067
1259,0603.107
1260,0603.108
1261,0603.1086
1262,0603.109
1263,0603.1093
1264,0603.1103
1265,0603.1105
1266,0603.111
1267,0603.1118
1268,0603.1126
1269,0603.1132
1270,0603.1133
1271,0603.1148
1272,0603.1151
1273,0603.1156
1274,0603.1157
1275,0603.1158
1276,0603.1159
1277,0603.116
1278,0603.1163
1279,0603.1164
1280,0603.117
1281,0603.1173
1282,0603.1174
1283,0603.1188
1284,0603.1189
1285,0603.119
1286,0603.1193
1287,0603.1204
1288,0603.1205
1289,0603.121
1290,0603.1234
1291,0603.1235
1292,0603.1236
1293,0603.1251
1294,0603.1252
1295,0603.1253
1296,0603.1257
1297,0603.1259
1298,0603.1260
1299,0603.1273
1300,0603.1274
1301,0603.1281
1302,0603.1285
1303,0603.1286
1304,0603.1290
1305,0603.1296
1306,0603.1297
1307,0603.1298
1308,0603.130
1309,0603.1303
1310,0603.1304
1311,0603.1312
1312,0603.1314
1313,0603.1325
1314,0603.1327
1315,0603.1349
1316,0603.1351
1317,0603.1359
1318,0603.137
1319,0603.1374
1320,0603.1376
1321,0603.1390
1322,0603.1391
1323,0603.1398
1324,0603.1399
1325,0603.1412
1326,0603.1417
1327,0603.1437
1328,0603.1439
1329,0603.1442
1330,0603.1444
1331,0603.1458
1332,0603.1459
1333,0603.1461
1334,0603.1463
1335,0603.1465
1336,0603.1466
1337,0603.1469
1338,0603.1471
1339,0603.1486
1340,0603.1488
1341,0603.1491
1342,0603.1505
1343,0603.1521
1344,0603.1529
1345,0603.153
1346,0603.1530
1347,0603.1531
1348,0603.1546
1349,0603.1547
1350,0603.1550
1351,0603.156
1352,0603.1560
1353,0603.1567
1354,0603.157
1355,0603.158
1356,0603.1581
1357,0603.1587
1358,0603.1593
1359,0603.1616
1360,0603.162
1361,0603.1627
1362,0603.163
1363,0603.1632
1364,0603.1633
1365,0603.1634
1366,0603.1638
1367,0603.1644
1368,0603.1659
1369,0603.1673
1370,0603.1674
1371,0603.1677
1372,0603.1701
1373,0603.1718
1374,0603.1730
1375,0603.1737
1376,0603.1738
1377,0603.1741
1378,0603.1746
1379,0603.1757
1380,0603.1769
1381,0603.1771
1382,0603.1775
1383,0603.1786
1384,0603.1787
1385,0603.1788
1386,0603.1789
1387,0603.1790
1388,0603.1806
1389,0603.1816
1390,0603.1817
1391,0603.1820
1392,0603.1831
1393,0603.1832
1394,0603.1833
1395,0603.1837
1396,0603.184
1397,0603.1874
1398,0603.1877
1399,0603.1887
1400,0603.1894
1401,0603.1896
1402,0603.1899
1403,0603.1900
1404,0603.1918
1405,0603.1930
1406,0603.1931
1407,0603.1932
1408,0603.1937
1409,0603.1964
1410,0603.1966
1411,0603.1976
1412,0603.1977
1413,0603.1978
1414,0603.1993
1415,0603.2
1416,0603.2009
1417,0603.2018
1418,0603.2019
1419,0603.2029
1420,0603.2030
1421,0603.2034
1422,0603.2036
1423,0603.2037
1424,0603.2047
1425,0603.2064
1426,0603.2073
1427,0603.2079
1428,0603.2080
1429,0603.2082
1430,0603.2084
1431,0603.209
1432,0603.210
1433,0603.2110
1434,0603.212
1435,0603.2121
1436,0603.2132
1437,0603.2133
1438,0603.2139
1439,0603.2147
1440,0603.2156
1441,0603.2157
1442,0603.2162
1443,0603.2175
1444,0603.218
1445,0603.2181
1446,0603.2205
1447,0603.2206
1448,0603.2211
1449,0603.2226
1450,0603.2227
1451,0603.2228
1452,0603.2229
1453,0603.2236
1454,0603.2252
1455,0603.2254
1456,0603.2255
1457,0603.2256
1458,0603.2258
1459,0603.2278
1460,0603.2291
1461,0603.2292
1462,0603.230
1463,0603.2301
1464,0603.2313
1465,0603.2314
1466,0603.2315
1467,0603.2321
1468,0603.2323
1469,0603.2333
1470,0603.2355
1471,0603.2356
1472,0603.2359
1473,0603.2362
1474,0603.2375
1475,0603.2384
1476,0603.2385
1477,0603.2391
1478,0603.2399
1479,0603.24
1480,0603.2400
1481,0603.2415
1482,0603.2416
1483,0603.2418
1484,0603.2419
1485,0603.242
1486,0603.2420
1487,0603.2421
1488,0603.2456
1489,0603.2458
1490,0603.2463
1491,0603.2477
1492,0603.2508
1493,0603.2518
1494,0603.2523
1495,0603.2525
1496,0603.2558
1497,0603.2559
1498,0603.2572
1499,0603.2574
1500,0603.2575
1501,0603.260
1502,0603.2652
1503,0603.2660
1504,0603.2661
1505,0603.2664
1506,0603.2677
1507,0603.2707
1508,0603.271
1509,0603.2712
1510,0603.2714
1511,0603.2719
1512,0603.2721
1513,0603.2731
1514,0603.2739
1515,0603.2757
1516,0603.2758
1517,0603.2775
1518,0603.2785
1519,0603.2804
1520,0603.2842
1521,0603.2856
1522,0603.2857
1523,0603.2886
1524,0603.290
1525,0603.2913
1526,0603.2919
1527,0603.2936
1528,0603.2954
1529,0603.2960
1530,0603.2974
1531,0603.2976
1532,0603.3
1533,0603.304
1534,0603.3042
1535,0603.3049
1536,0603.305
